# db82cca2-27d6-4f1f-a85b-bb31ff3c776d.csv
index,glyph_type,sizeA,sizeB,sizeC
1,ripple_wave,34,23,9
2,sun,86,93,97
3,circular_progressbar,96,88,76
4,beer,14,13,2
# 7cd61d5b-7e4b-4de6-9cf7-a094b215ca0c.csv
1,circular_progressbar,6,13,17
2,circular_progressbar,66,39,16
3,beer,46,33,68
4,circular_progressbar,13,6,1
5,candle,55,26,86
6,ripple_wave,63,50,18
7,flower,74,59,48
8,sun,4,17,30
9,candle,99,59,82
10,tree_growth,63,49,35
11,candle,91,83,64
12,ripple_wave,87,67,45
13,circular_progressbar,70,53,39
14,candle,100,90,83
15,sun,100,90,83
16,flower,3,10,17
17,circular_progressbar,90,66,43
18,ripple_wave,16,35,57
19,sun,87,76,53
20,ripple_wave,15,25,39
21,flower,2,13,38
22,beer,52,39,93
23,circular_progressbar,21,9,5
24,flower,12,21,24
25,ripple_wave,70,65,59
26,tree_growth,57,74,88
27,tree_growth,100,96,93
28,sun,37,40,48
29,candle,15,9,4
30,circular_progressbar,2,16,32
31,flower,1,10,17
# 5881a987-4a5a-4a8c-bea0-f4fd41e3aaa1.csv
1,circular_progressbar,97,98,100
2,ripple_wave,54,28,15
3,beer,92,90,80
4,flower,11,5,1
5,ripple_wave,2,8,13
6,tree_growth,44,34,12
7,ripple_wave,56,76,96
8,circular_progressbar,50,64,77
9,beer,9,17,34
10,flower,18,37,54
11,sun,26,31,40
12,beer,80,89,93
13,circular_progressbar,17,36,65
14,ripple_wave,3,2,1
15,beer,97,84,74
16,sun,81,75,39
17,beer,10,25,32
18,sun,26,48,64
19,sun,94,98,100
20,tree_growth,9,5,1
21,candle,1,4,7
22,candle,26,13,3
23,tree_growth,26,59,72
24,circular_progressbar,75,86,97
25,circular_progressbar,39,31,26
# 8b53e19d-dced-4637-9967-923878c14102.csv
1,beer,14,10,4
2,flower,100,98,97
3,beer,2,21,38
4,circular_progressbar,3,2,1
5,tree_growth,71,79,87
6,sun,39,47,56
7,flower,3,12,18
8,flower,55,33,20
9,ripple_wave,75,81,94
10,circular_progressbar,25,47,71
11,tree_growth,28,44,73
12,circular_progressbar,31,21,11
13,flower,59,51,46
14,ripple_wave,59,67,71
15,candle,90,79,71
16,sun,66,73,79
17,candle,4,2,1
18,tree_growth,100,96,89
19,flower,71,50,34
20,candle,86,81,69
21,tree_growth,72,79,96
22,tree_growth,55,70,76
23,tree_growth,48,35,5
24,beer,80,65,53
25,beer,41,25,22
26,ripple_wave,29,22,10
27,flower,17,49,67
28,flower,100,96,94
29,circular_progressbar,50,34,18
30,circular_progressbar,89,94,100
31,ripple_wave,58,74,90
32,flower,17,22,28
33,candle,7,3,1
34,sun,20,53,69
35,tree_growth,34,40,49
36,candle,33,18,10
37,candle,34,25,18
38,beer,64,35,14
39,ripple_wave,34,22,17
40,ripple_wave,99,98,88
41,sun,92,80,50
42,candle,94,73,82
43,beer,53,44,39
44,sun,27,43,57
45,sun,63,73,75
46,circular_progressbar,96,98,100
47,tree_growth,15,21,30
48,beer,10,25,39
49,candle,33,28,23
50,circular_progressbar,96,81,64
51,flower,52,75,92
52,ripple_wave,10,32,49
53,ripple_wave,44,57,64
54,ripple_wave,37,16,1
55,flower,2,6,12
56,candle,59,45,32
57,flower,80,1,55
58,sun,85,77,64
59,tree_growth,63,45,29
60,beer,100,93,87
61,circular_progressbar,7,28,50
62,candle,64,58,46
63,beer,87,79,76
64,tree_growth,13,29,40
65,tree_growth,61,66,73
66,circular_progressbar,97,93,87
67,sun,36,46,54
68,circular_progressbar,54,29,6
69,flower,32,39,45
70,candle,53,46,34
71,ripple_wave,95,100,100
72,circular_progressbar,100,95,91
73,candle,55,68,73
74,beer,98,79,59
75,tree_growth,86,79,52
76,candle,38,59,77
77,flower,16,22,29
78,ripple_wave,36,35,21
79,beer,85,68,46
80,sun,94,83,74
81,tree_growth,53,40,27
82,flower,71,83,94
83,sun,63,80,86
84,circular_progressbar,78,83,89
85,ripple_wave,65,74,86
86,ripple_wave,63,74,90
87,beer,30,42,53
88,circular_progressbar,1,2,3
89,beer,27,37,47
90,flower,25,37,49
91,tree_growth,25,61,72
92,circular_progressbar,95,88,79
93,beer,42,65,71
94,beer,41,73,84
95,circular_progressbar,11,29,49
96,beer,1,2,5
97,candle,71,58,26
98,circular_progressbar,3,2,1
99,sun,55,48,41
100,flower,28,23,18
101,sun,41,69,79
102,ripple_wave,69,45,26
103,sun,23,16,1
104,flower,67,48,33
105,circular_progressbar,38,24,11
106,tree_growth,12,5,2
107,flower,54,46,26
108,candle,19,14,2
109,ripple_wave,71,64,48
110,beer,69,85,98
111,tree_growth,98,84,66
112,ripple_wave,56,70,87
113,tree_growth,33,21,7
114,sun,27,39,47
115,circular_progressbar,7,24,37
116,candle,52,70,89
117,beer,52,43,16
118,tree_growth,58,77,98
119,flower,21,12,7
120,ripple_wave,73,75,86
121,circular_progressbar,83,88,94
122,circular_progressbar,51,76,100
123,ripple_wave,54,48,38
124,beer,7,11,26
125,ripple_wave,79,69,58
126,beer,79,85,98
